Data,Time,Value
Percentage,4.010810136795044,253.72
Percentage,4.512237548828125,253.37
Distance,3.697021961212158,120.91
Distance,3.804685115814209,65.14
Distance,3.9317209720611572,399.82
Distance,4.059038400650024,399.83
Distance,4.186208486557007,399.87
Distance,4.313307285308838,399.83
Distance,4.440974712371826,399.83
Distance,4.568432807922363,399.82
Distance,4.695492506027222,400.24
Distance,4.80007529258728,15.66
Distance,4.905037879943848,15.66
Percentage,5.015995740890503,254.08
Percentage,5.517171621322632,254.08
Percentage,6.018329858779907,253.72
Percentage,6.519503593444824,253.37
Percentage,7.020840644836426,254.08
Percentage,7.522262334823608,253.72
Percentage,8.023566722869873,253.72
Percentage,8.5247962474823,253.72
Percentage,9.026100158691406,253.72
Percentage,9.52733302116394,196.72
Distance,5.015542984008789,92.85
Distance,5.122959613800049,55.65
Distance,5.249197244644165,400.27
Distance,5.3613362312316895,154.91
Distance,5.487540245056152,400.74
Distance,5.591870069503784,24.05
Distance,5.696484088897705,28.46
Distance,5.800809860229492,24.95
Distance,5.904672861099243,16.94
Distance,6.008991003036499,24.4
Distance,6.112850666046143,16.24
Distance,6.217044115066528,19.58
Distance,6.32170557975769,27.84
Distance,6.427529811859131,46.2
Distance,6.533554553985596,50.88
Distance,6.639916181564331,57.49
Distance,6.746201515197754,57.88
Distance,6.852367401123047,55.72
Distance,6.957913637161255,45.76
Distance,7.062877893447876,35.67
Distance,7.1673643589019775,27.01
Distance,7.2712719440460205,15.67
Distance,7.397914171218872,403.03
Distance,7.502082347869873,19.49
Distance,7.606812953948975,28.69
Distance,7.712240219116211,41.94
Distance,7.818223476409912,54.3
Distance,7.924696445465088,61.85
Distance,8.031291484832764,63.29
Distance,8.137840270996094,61.82
Distance,8.244032382965088,55.86
Distance,8.349425792694092,42.74
Distance,8.454192876815796,28.72
Distance,8.573240518569946,273.78
Distance,8.699573040008545,401.1
Distance,8.825845003128052,400.65
Distance,8.95206093788147,400.3
Distance,9.07830548286438,400.3
Distance,9.187642574310303,110.82
Distance,9.31397557258606,399.94
Distance,9.44051480293274,400.26
Distance,9.566797256469727,400.19
Distance,9.693116426467896,400.65
Distance,9.802073955535889,104.29
Distance,9.924423217773438,333.84
Percentage,10.033876657485962,98.53
Percentage,10.53497052192688,98.53
Percentage,11.036720514297485,68.27
Percentage,11.538212776184082,12.32
Percentage,12.039475440979004,8.45
Percentage,12.550956964492798,14.43
Percentage,13.052220344543457,130.56
