Data,Time,Value
Percentage,1659050300.62,0.0
Percentage,1659050301.12,0.0
Percentage,1659050301.62,0.0
Percentage,1659050302.12,0.0
Percentage,1659050302.62,10.56
Percentage,1659050303.12,25.9
Percentage,1659050303.62,40.47
Percentage,1659050304.13,54.55
Percentage,1659050304.63,68.52
Percentage,1659050305.13,80.74
Percentage,1659050305.63,82.99
Percentage,1659050306.13,82.99
Percentage,1659050306.63,92.38
Percentage,1659050307.13,100.0
Percentage,1659050307.63,100.0
Percentage,1659050308.13,100.0
Percentage,1659050308.63,100.0
Percentage,1659050309.13,100.0
Percentage,1659050309.63,90.52
Percentage,1659050310.14,80.84
Percentage,1659050310.64,70.38
Percentage,1659050311.14,68.33
Percentage,1659050311.64,64.52
Percentage,1659050312.14,50.83
Percentage,1659050312.64,40.08
Percentage,1659050313.14,26.39
Percentage,1659050313.64,21.9
Percentage,1659050314.14,21.99
Percentage,1659050314.64,0.0
Percentage,1659050315.14,0.0
Percentage,1659050315.65,0.0
Percentage,1659050316.15,7.53
Percentage,1659050316.65,19.94
Percentage,1659050317.15,27.86
Percentage,1659050317.65,30.89
Percentage,1659050318.15,34.21
Percentage,1659050318.65,40.47
Percentage,1659050319.15,42.13
Percentage,1659050319.66,39.59
Percentage,1659050320.16,26.49
Percentage,1659050320.66,18.38
Percentage,1659050321.16,6.26
Percentage,1659050321.66,0.0
Percentage,1659050322.16,0.0
Percentage,1659050322.66,0.0
Percentage,1659050323.16,3.42
Percentage,1659050323.66,13.1
Percentage,1659050324.16,18.48
Percentage,1659050324.66,27.57
Percentage,1659050325.17,41.74
Percentage,1659050325.67,52.88
Percentage,1659050326.17,64.13
Percentage,1659050326.67,73.51
Percentage,1659050327.17,72.83
Percentage,1659050327.67,90.32
Percentage,1659050328.17,100.0
Percentage,1659050328.67,99.41
Percentage,1659050329.17,76.74
Percentage,1659050329.67,71.95
Percentage,1659050330.18,72.04
Distance,1659050300.28,59.6
Distance,1659050300.39,60.85
Distance,1659050300.49,61.95
Distance,1659050300.62,400.33
Distance,1659050300.74,400.33
Distance,1659050300.87,400.29
Distance,1659050300.98,59.22
Distance,1659050301.08,58.82
Distance,1659050301.19,58.22
Distance,1659050301.31,400.35
Distance,1659050301.42,41.53
Distance,1659050301.52,44.19
Distance,1659050301.63,48.24
Distance,1659050301.74,48.73
Distance,1659050301.84,50.11
Distance,1659050301.95,50.63
Distance,1659050302.05,49.94
Distance,1659050302.16,49.6
Distance,1659050302.26,48.74
Distance,1659050302.37,47.2
Distance,1659050302.47,47.66
Distance,1659050302.58,42.1
Distance,1659050302.68,39.61
Distance,1659050302.79,35.18
Distance,1659050302.89,31.8
Distance,1659050303.0,20.55
Distance,1659050303.1,28.41
Distance,1659050303.21,24.9
Distance,1659050303.31,21.08
Distance,1659050303.41,20.2
Distance,1659050303.52,21.8
Distance,1659050303.62,18.87
Distance,1659050303.72,16.04
Distance,1659050303.83,14.68
Distance,1659050303.93,15.02
Distance,1659050304.03,13.46
Distance,1659050304.14,16.33
Distance,1659050304.24,16.0
Distance,1659050304.34,9.87
Distance,1659050304.45,13.18
Distance,1659050304.55,9.55
Distance,1659050304.65,6.95
Distance,1659050304.76,6.32
Distance,1659050304.86,6.88
Distance,1659050304.96,7.55
Distance,1659050305.07,8.38
Distance,1659050305.17,7.75
Distance,1659050305.27,7.74
Distance,1659050305.37,6.95
Distance,1659050305.48,6.94
Distance,1659050305.58,6.94
Distance,1659050305.68,7.81
Distance,1659050305.79,8.06
Distance,1659050305.89,6.57
Distance,1659050305.99,8.07
Distance,1659050306.1,7.83
Distance,1659050306.2,8.11
Distance,1659050306.3,9.62
Distance,1659050306.41,11.58
Distance,1659050306.51,11.65
Distance,1659050306.61,8.7
Distance,1659050306.72,11.34
Distance,1659050306.82,11.36
Distance,1659050306.92,13.14
Distance,1659050307.03,14.36
Distance,1659050307.13,15.4
Distance,1659050307.23,16.67
Distance,1659050307.34,17.25
Distance,1659050307.44,21.15
Distance,1659050307.54,24.03
Distance,1659050307.65,26.06
Distance,1659050307.75,25.85
Distance,1659050307.86,31.84
Distance,1659050307.96,30.01
Distance,1659050308.06,33.62
Distance,1659050308.17,36.81
Distance,1659050308.27,39.43
Distance,1659050308.38,43.54
Distance,1659050308.48,43.17
Distance,1659050308.59,44.71
Distance,1659050308.7,45.95
Distance,1659050308.8,48.67
Distance,1659050308.91,49.1
Distance,1659050309.01,48.77
Distance,1659050309.12,48.95
Distance,1659050309.22,49.02
Distance,1659050309.33,48.34
Distance,1659050309.43,48.63
Distance,1659050309.54,47.61
Distance,1659050309.64,46.77
Distance,1659050309.75,46.13
Distance,1659050309.85,41.17
Distance,1659050309.96,41.24
Distance,1659050310.06,35.24
Distance,1659050310.17,32.88
Distance,1659050310.27,30.76
Distance,1659050310.38,30.78
Distance,1659050310.48,26.39
Distance,1659050310.58,25.83
Distance,1659050310.69,24.78
Distance,1659050310.79,21.73
Distance,1659050310.9,21.93
Distance,1659050311.0,23.36
Distance,1659050311.1,24.89
Distance,1659050311.21,26.45
Distance,1659050311.31,28.89
Distance,1659050311.42,31.05
Distance,1659050311.52,31.92
Distance,1659050311.63,31.49
Distance,1659050311.73,30.77
Distance,1659050311.84,30.79
Distance,1659050311.94,26.39
Distance,1659050312.04,24.6
Distance,1659050312.15,23.78
Distance,1659050312.25,21.71
Distance,1659050312.35,21.08
Distance,1659050312.46,19.84
Distance,1659050312.56,18.3
Distance,1659050312.67,18.24
Distance,1659050312.77,15.6
Distance,1659050312.87,15.34
Distance,1659050312.98,14.38
Distance,1659050313.08,14.29
Distance,1659050313.18,14.01
Distance,1659050313.29,14.02
Distance,1659050313.39,14.99
Distance,1659050313.49,15.36
Distance,1659050313.6,13.35
Distance,1659050313.7,15.35
Distance,1659050313.8,15.27
Distance,1659050313.91,15.36
Distance,1659050314.01,15.65
Distance,1659050314.11,16.63
Distance,1659050314.22,17.6
Distance,1659050314.32,16.3
Distance,1659050314.42,16.27
Distance,1659050314.53,15.35
Distance,1659050314.63,14.66
Distance,1659050314.73,14.33
Distance,1659050314.84,15.07
Distance,1659050314.94,13.67
Distance,1659050315.04,12.84
Distance,1659050315.15,14.06
Distance,1659050315.25,12.85
Distance,1659050315.36,17.64
Distance,1659050315.46,14.4
Distance,1659050315.56,13.41
Distance,1659050315.67,13.19
Distance,1659050315.77,15.05
Distance,1659050315.87,17.24
Distance,1659050315.98,15.41
Distance,1659050316.08,28.51
Distance,1659050316.18,15.31
Distance,1659050316.29,17.47
Distance,1659050316.39,15.6
Distance,1659050316.49,17.35
Distance,1659050316.6,18.21
Distance,1659050316.7,18.24
Distance,1659050316.8,16.62
Distance,1659050316.91,17.62
Distance,1659050317.01,24.42
Distance,1659050317.12,19.85
Distance,1659050317.22,19.51
Distance,1659050317.32,16.7
Distance,1659050317.43,18.87
Distance,1659050317.53,16.91
Distance,1659050317.63,18.21
Distance,1659050317.74,16.67
Distance,1659050317.84,16.62
Distance,1659050317.94,21.81
Distance,1659050318.05,22.29
Distance,1659050318.15,21.06
Distance,1659050318.26,20.49
Distance,1659050318.36,19.21
Distance,1659050318.46,20.83
Distance,1659050318.57,22.34
Distance,1659050318.67,22.59
Distance,1659050318.78,21.7
Distance,1659050318.88,23.51
Distance,1659050318.98,25.73
Distance,1659050319.09,16.22
Distance,1659050319.19,29.01
Distance,1659050319.3,29.21
Distance,1659050319.4,27.73
Distance,1659050319.5,29.41
Distance,1659050319.61,28.66
Distance,1659050319.71,29.14
Distance,1659050319.82,29.79
Distance,1659050319.92,29.97
Distance,1659050320.03,29.49
Distance,1659050320.13,29.49
Distance,1659050320.23,30.55
Distance,1659050320.34,29.95
Distance,1659050320.44,30.72
Distance,1659050320.55,31.33
Distance,1659050320.65,31.28
Distance,1659050320.76,32.61
Distance,1659050320.86,33.08
Distance,1659050320.97,33.98
Distance,1659050321.07,35.98
Distance,1659050321.17,37.48
Distance,1659050321.28,41.31
Distance,1659050321.38,44.21
Distance,1659050321.49,51.5
Distance,1659050321.6,53.94
Distance,1659050321.7,55.81
Distance,1659050321.81,52.9
Distance,1659050321.91,52.2
Distance,1659050322.02,51.32
Distance,1659050322.12,54.42
Distance,1659050322.23,49.75
Distance,1659050322.34,48.9
Distance,1659050322.44,49.24
Distance,1659050322.55,45.54
Distance,1659050322.65,44.11
Distance,1659050322.76,42.79
Distance,1659050322.86,39.21
Distance,1659050322.97,35.46
Distance,1659050323.07,34.67
Distance,1659050323.17,34.5
Distance,1659050323.28,31.35
Distance,1659050323.38,28.41
Distance,1659050323.49,28.16
Distance,1659050323.59,26.74
Distance,1659050323.7,22.38
Distance,1659050323.8,21.36
Distance,1659050323.9,21.35
Distance,1659050324.01,20.22
Distance,1659050324.11,22.0
Distance,1659050324.21,20.5
Distance,1659050324.32,18.91
Distance,1659050324.42,20.55
Distance,1659050324.53,26.47
Distance,1659050324.63,16.32
Distance,1659050324.73,15.8
Distance,1659050324.84,14.96
Distance,1659050324.94,15.44
Distance,1659050325.04,14.74
Distance,1659050325.15,13.72
Distance,1659050325.25,13.71
Distance,1659050325.35,14.06
Distance,1659050325.46,13.13
Distance,1659050325.56,14.38
Distance,1659050325.66,14.38
Distance,1659050325.77,14.37
Distance,1659050325.87,14.41
Distance,1659050325.97,13.47
Distance,1659050326.08,14.31
Distance,1659050326.18,14.38
Distance,1659050326.28,13.36
Distance,1659050326.39,13.46
Distance,1659050326.49,14.41
Distance,1659050326.59,14.4
Distance,1659050326.7,14.32
Distance,1659050326.8,15.34
Distance,1659050326.9,14.99
Distance,1659050327.01,15.66
Distance,1659050327.11,14.95
Distance,1659050327.21,15.92
Distance,1659050327.32,15.93
Distance,1659050327.42,15.96
Distance,1659050327.53,19.23
Distance,1659050327.63,16.94
Distance,1659050327.73,14.99
Distance,1659050327.84,14.68
Distance,1659050327.94,14.29
Distance,1659050328.04,12.83
Distance,1659050328.15,13.44
Distance,1659050328.25,14.3
Distance,1659050328.35,14.7
Distance,1659050328.46,15.33
Distance,1659050328.56,14.62
Distance,1659050328.66,14.94
Distance,1659050328.77,16.65
Distance,1659050328.87,19.14
Distance,1659050328.97,20.22
Distance,1659050329.08,21.76
Distance,1659050329.18,23.47
Distance,1659050329.29,23.23
Distance,1659050329.39,25.82
Distance,1659050329.49,29.25
Distance,1659050329.6,28.73
Distance,1659050329.7,29.99
Distance,1659050329.81,36.36
Distance,1659050329.91,33.69
