Data,Time,Value
Percentage,0.15,182.64
Percentage,0.65,182.64
Percentage,1.15,182.64
Percentage,1.65,182.99
Percentage,2.16,182.64
Percentage,2.66,182.99
Distance,0.1,5.18
Distance,0.2,5.09
Distance,0.31,5.13
Distance,0.41,5.11
Distance,0.52,5.12
Distance,0.62,5.19
Distance,0.73,5.06
Distance,0.83,5.14
Distance,0.94,5.13
Distance,1.04,5.11
Distance,1.15,5.05
Distance,1.25,5.17
Distance,1.36,5.09
Distance,1.46,4.27
Distance,1.57,4.51
Distance,1.67,35.01
Distance,1.78,8.11
Distance,1.88,8.36
Distance,1.99,30.26
Distance,2.09,8.4
Distance,2.2,56.22
Distance,2.3,23.26
Distance,2.41,4.23
Distance,2.51,7.2
Distance,2.61,7.26
Distance,2.72,6.92
Distance,2.82,6.62
Distance,2.92,8.1
Distance,3.03,7.18
Distance,3.13,5.12
Percentage,3.16,182.99
Percentage,3.66,182.99
Percentage,4.16,182.64
Percentage,4.66,185.1
Percentage,5.17,360.0
Percentage,5.67,360.0
Percentage,6.17,360.0
Percentage,6.67,325.16
Percentage,7.17,218.18
Percentage,7.67,203.4
Distance,3.23,5.67
Distance,3.34,3.94
Distance,3.44,3.92
Distance,3.54,3.92
Distance,3.65,3.96
Distance,3.75,6.88
Distance,3.85,3.92
Distance,3.96,6.88
Distance,4.06,3.89
Distance,4.16,3.88
Distance,4.27,3.98
Distance,4.37,6.05
Distance,4.47,5.96
Distance,4.58,6.58
Distance,4.68,6.04
Distance,4.78,5.96
Distance,4.89,5.99
Distance,4.99,5.95
Distance,5.09,6.05
Distance,5.2,6.02
Distance,5.3,6.02
Distance,5.4,5.99
Distance,5.51,6.59
Distance,5.61,4.51
Distance,5.71,4.52
Distance,5.82,5.43
Distance,5.92,5.44
Distance,6.02,5.42
Distance,6.13,5.4
Distance,6.23,4.55
Distance,6.33,4.58
Distance,6.44,4.55
Distance,6.54,4.51
Distance,6.64,4.51
Distance,6.75,4.6
Distance,6.85,4.55
Distance,6.95,4.5
Distance,7.06,4.5
Distance,7.16,5.42
Distance,7.26,5.4
Distance,7.37,4.53
Distance,7.47,4.56
Distance,7.57,4.54
Distance,7.68,55.93
Distance,7.78,4.47
Distance,7.89,7.13
Distance,7.99,7.21
Distance,8.09,7.26
Percentage,8.17,85.87
Percentage,8.68,8.45
Percentage,9.18,6.33
Percentage,9.68,6.33
Percentage,10.18,0.0
Percentage,10.68,0.0
Percentage,11.18,0.0
Percentage,11.68,0.0
Percentage,12.19,0.0
Percentage,12.69,0.0
Distance,8.2,7.25
Distance,8.3,7.17
Distance,8.41,8.13
Distance,8.51,5.13
Distance,8.61,6.89
Distance,8.72,6.86
Distance,8.82,6.87
Distance,8.92,5.99
Distance,9.03,4.81
Distance,9.13,3.88
Distance,9.23,4.8
Distance,9.34,4.81
Distance,9.44,4.8
Distance,9.54,6.61
Distance,9.65,5.66
Distance,9.75,6.57
Distance,9.85,6.6
Distance,9.96,6.58
Distance,10.06,6.57
Distance,10.16,6.56
Distance,10.27,5.71
Distance,10.37,7.48
Distance,10.47,5.44
Distance,10.58,6.95
Distance,10.68,6.06
Distance,10.79,55.75
Distance,10.89,6.63
Distance,10.99,7.48
Distance,11.17,1214.97
Distance,11.27,4.84
Distance,11.37,3.9
Distance,11.48,3.95
Distance,11.58,6.89
Distance,11.68,6.01
Distance,11.79,47.76
Distance,11.89,43.54
Distance,12.0,4.53
Distance,12.1,4.51
Distance,12.2,4.51
Distance,12.31,4.51
Distance,12.41,4.53
Distance,12.51,4.53
Distance,12.62,4.5
Distance,12.72,4.51
Distance,12.82,4.49
Distance,12.93,4.52
Distance,13.03,4.51
Distance,13.13,4.46
Percentage,13.19,0.0
Percentage,13.69,0.0
Percentage,14.19,0.0
Percentage,14.69,0.0
Percentage,15.2,0.0
Percentage,15.7,0.0
Percentage,16.2,0.0
Percentage,16.7,0.0
Percentage,17.2,0.0
Percentage,17.71,0.0
Distance,13.24,4.51
Distance,13.34,4.53
Distance,13.44,4.55
Distance,13.55,4.52
Distance,13.65,4.55
Distance,13.75,4.52
Distance,13.86,4.5
Distance,13.96,4.52
Distance,14.06,4.51
Distance,14.17,4.54
Distance,14.27,4.51
Distance,14.37,4.54
Distance,14.48,4.5
Distance,14.58,4.53
Distance,14.68,4.52
Distance,14.78,4.49
Distance,14.89,4.52
Distance,14.99,4.58
Distance,15.09,4.49
Distance,15.2,4.55
Distance,15.3,4.53
Distance,15.4,4.48
Distance,15.51,4.52
Distance,15.61,4.56
